"id","symbol","period","open_time","close_time","open","close","high","low","volume","quote_asset_volume","num_trades","first_id","last_id","taker_buy_base_asset_volume","taker_buy_quote_asset_volume","create_time","update_time","event_time","receive_time"
"1406834261570404354","BTCUSDT","1m","1624250340000","1624250399999","33844.36","33934.65","33934.65","33750","3222.442","109031926.41711","22454","1042856944","1042879397","1530.287","51798380.07267","21/6/2021 04:40:00","21/6/2021 04:40:00","1624250400032","1624250400332"
"1406834008557404161","BTCUSDT","1m","1624250280000","1624250339999","34070","33840.68","34118.09","33750","5469.512","185546936.04836","36216","1042820578","1042856943","1460.557","49568260.7976","21/6/2021 04:39:00","21/6/2021 04:39:00","1624250340003","1624250340009"
"1406833757217931266","BTCUSDT","1m","1624250220000","1624250279999","34152.99","34070","34170.6","34070","872.028","29738523.90283","7235","1042813343","1042820577","320.408","10927325.8649","21/6/2021 04:38:00","21/6/2021 04:38:00","1624250280003","1624250280085"
"1406833505740009474","BTCUSDT","1m","1624250160000","1624250219999","34115.33","34152.99","34177.6","34115.32","631.247","21550073.16605","3928","1042809415","1042813342","416.522","14219922.58667","21/6/2021 04:37:00","21/6/2021 04:37:00","1624250220080","1624250220129"
"1406833254312493057","BTCUSDT","1m","1624250100000","1624250159999","34165.89","34115.33","34229.98","34113.63","785.197","26837768.08605","5564","1042803851","1042809414","363.648","12431830.30144","21/6/2021 04:36:00","21/6/2021 04:36:00","1624250160068","1624250160183"
"1406833002935234561","BTCUSDT","1m","1624250040000","1624250099999","34167.99","34165.89","34178.18","34084.54","1139.127","38870369.83721","7809","1042796042","1042803850","574.528","19605612.74819","21/6/2021 04:35:00","21/6/2021 04:35:00","1624250100027","1624250100251"
"1406832750811426818","BTCUSDT","1m","1624249980000","1624250039999","34195.51","34167.99","34201.69","34141.5","581.854","19881807.84558","4354","1042791688","1042796041","294.015","10046884.70524","21/6/2021 04:34:00","21/6/2021 04:34:00","1624250040072","1624250040142"
"1406832498662453250","BTCUSDT","1m","1624249920000","1624249979999","34238.19","34195.51","34257.39","34181.86","791.143","27077691.37559","5336","1042786352","1042791687","388.497","13298184.93301","21/6/2021 04:33:00","21/6/2021 04:33:00","1624249980020","1624249980023"
"1406832247037804546","BTCUSDT","1m","1624249860000","1624249919999","34209.74","34238.19","34250","34190.28","821.465","28118606.51962","7134","1042779218","1042786351","495.783","16971580.68712","21/6/2021 04:32:00","21/6/2021 04:32:00","1624249920024","1624249920030"
"1406831995325038593","BTCUSDT","1m","1624249800000","1624249859999","34160.35","34210.83","34222","34107.17","747.006","25525670.67431","6391","1042772827","1042779217","483.744","16530643.45039","21/6/2021 04:31:00","21/6/2021 04:31:00","1624249860011","1624249860017"
"1406831745902325762","BTCUSDT","1m","1624249740000","1624249799999","34175.09","34160.35","34230","34153.06","720.301","24627427.38994","4902","1042767925","1042772826","408.717","13975481.58439","21/6/2021 04:30:00","21/6/2021 04:30:00","1624249800060","1624249800551"
"1406831492432146434","BTCUSDT","1m","1624249680000","1624249739999","34080.62","34175.08","34188","34051","1135.96","38746592.50409","9914","1042758011","1042767924","606.418","20689098.14163","21/6/2021 04:29:00","21/6/2021 04:29:00","1624249740092","1624249740119"
"1406831240312569857","BTCUSDT","1m","1624249620000","1624249679999","34149.99","34080.62","34214.39","34080","1090.055","37214262.84962","6817","1042751194","1042758010","368.218","12577446.11653","21/6/2021 04:28:00","21/6/2021 04:28:00","1624249680002","1624249680008"
"1406830990394966017","BTCUSDT","1m","1624249560000","1624249619999","34211.36","34149.76","34213.67","34137.82","668.087","22831543.00024","5438","1042745756","1042751193","310.306","10604818.37586","21/6/2021 04:27:00","21/6/2021 04:27:00","1624249620112","1624249620423"
"1406830737293848578","BTCUSDT","1m","1624249500000","1624249559999","34257.58","34211.37","34270.87","34200","686.826","23512826.74296","5334","1042740422","1042745755","310.971","10646728.9228","21/6/2021 04:26:00","21/6/2021 04:26:00","1624249560047","1624249560080"
"1406830485379792898","BTCUSDT","1m","1624249440000","1624249499999","34235.79","34257.57","34263.06","34193.92","653.536","22369388.03301","4985","1042735437","1042740421","389.889","13346670.91895","21/6/2021 04:25:00","21/6/2021 04:25:00","1624249500011","1624249500019"
"1406830234170306561","BTCUSDT","1m","1624249380000","1624249439999","34213.6","34235.78","34264.02","34177.5","549.993","18820800.28598","4842","1042730595","1042735436","342.294","11713472.87227","21/6/2021 04:24:00","21/6/2021 04:24:00","1624249440062","1624249440125"
"1406829983124434946","BTCUSDT","1m","1624249320000","1624249379999","34156.59","34213.6","34250","34154.14","994.072","34000888.5835","8272","1042722323","1042730594","564.132","19294814.77895","21/6/2021 04:23:00","21/6/2021 04:23:00","1624249380091","1624249380272"
"1406829731180982274","BTCUSDT","1m","1624249260000","1624249319999","34214.99","34156.58","34214.99","34080.6","1567.805","53506109.46713","11353","1042710970","1042722322","701.143","23926967.98955","21/6/2021 04:22:00","21/6/2021 04:22:00","1624249320012","1624249320202"
"1406829479690551297","BTCUSDT","1m","1624249200000","1624249259999","34188.67","34214.98","34299","34188.67","1383.507","47395475.25032","9150","1042701820","1042710969","921.231","31562867.15583","21/6/2021 04:21:00","21/6/2021 04:21:00","1624249260051","1624249260244"
"1406829227935805441","BTCUSDT","1m","1624249140000","1624249199999","34137.85","34187.34","34249.52","34123.85","1154.758","39494628.20142","9684","1042692136","1042701819","687.726","23522863.94208","21/6/2021 04:20:00","21/6/2021 04:20:00","1624249200016","1624249200221"
"1406828975442898945","BTCUSDT","1m","1624249080000","1624249139999","34111.45","34137.66","34190","34110","2031.375","69374600.52985","10238","1042681898","1042692135","786.766","26869770.39497","21/6/2021 04:19:00","21/6/2021 04:19:00","1624249140016","1624249140021"
"1406828723814019073","BTCUSDT","1m","1624249020000","1624249079999","34223.1","34111.45","34236.3","34051","3252.048","110932128.27682","22227","1042659670","1042681897","1168.061","39857271.94285","21/6/2021 04:18:00","21/6/2021 04:18:00","1624249080024","1624249080029"
